Date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new snow,snow depth
01/01/2018,61,48,54.5,2.9,10,0,0,,
02/01/2018,61,52,56.5,4.8,8,0,0,,
03/01/2018,58,53,55.5,3.8,9,0,0.09,,
04/01/2018,63,53,58,6.3,7,0,0.06,,
05/01/2018,61,52,56.5,4.8,8,0,0.26,,
06/01/2018,59,50,54.5,2.8,10,0,0,,
07/01/2018,52,48,50,-1.7,15,0,0,,
08/01/2018,58,51,54.5,2.7,10,0,3.15,,
09/01/2018,59,51,55,3.2,10,0,0.32,,
10/01/2018,56,50,53,1.2,12,0,0.04,,
11/01/2018,60,52,56,4.1,9,0,0,,
12/01/2018,59,50,54.5,2.6,10,0,0,,
13/01/2018,63,47,55,3,10,0,0,,
14/01/2018,58,49,53.5,1.5,11,0,0,,
15/01/2018,62,49,55.5,3.5,9,0,0,,
16/01/2018,60,54,57,4.9,8,0,0.02,,
17/01/2018,59,53,56,3.8,9,0,0,,
18/01/2018,56,50,53,0.8,12,0,0.43,,
19/01/2018,57,48,52.5,0.2,12,0,0.02,,
20/01/2018,57,43,50,-2.3,15,0,0,,
21/01/2018,57,45,51,-1.4,14,0,0.02,,
22/01/2018,58,50,54,1.5,11,0,0.3,,
23/01/2018,58,46,52,-0.5,13,0,0,,
24/01/2018,58,48,53,0.4,12,0,0.42,,
25/01/2018,58,46,52,-0.7,13,0,0.08,,
26/01/2018,56,45,50.5,-2.2,14,0,0,,
27/01/2018,60,45,52.5,-0.3,12,0,0,,
28/01/2018,66,47,56.5,3.6,8,0,0,,
29/01/2018,63,52,57.5,4.5,7,0,0,,
30/01/2018,65,50,57.5,4.5,7,0,0,,
31/01/2018,67,50,58.5,5.4,6,0,0,,
01/02/2018,73,51,62,9.7,3,0,0,0,0
02/02/2018,73,51,62,9.6,3,0,0,0,0
03/02/2018,76,50,63,10.5,2,0,0,0,0
04/02/2018,75,51,63,10.5,2,0,0,0,0
05/02/2018,72,53,62.5,9.9,2,0,0,0,0
06/02/2018,75,52,63.5,10.8,1,0,0,0,0
07/02/2018,72,51,61.5,8.7,3,0,0,0,0
08/02/2018,74,51,62.5,9.6,2,0,0,0,0
09/02/2018,74,51,62.5,9.5,2,0,0,0,0
10/02/2018,65,53,59,5.9,6,0,0,0,0
11/02/2018,63,44,53.5,0.3,11,0,0,0,0
12/02/2018,59,47,53,-0.2,12,0,0,0,0
13/02/2018,63,49,56,2.7,9,0,0,0,0
14/02/2018,60,45,52.5,-0.9,12,0,0,0,0
15/02/2018,64,44,54,0.5,11,0,0,0,0
16/02/2018,65,42,53.5,-0.1,11,0,0,0,0
17/02/2018,67,45,56,2.3,9,0,0,0,0
