Global Warming,Climate Change,isPartial
1,2,False
1,2,False
1,1,False
1,2,False
1,1,False
1,1,False
2,3,False
3,4,False
3,4,False
2,3,False
1,2,False
2,2,False
2,2,False
2,2,False
2,3,False
2,3,False
2,3,False
2,3,False
1,1,False
2,3,False
3,3,False
2,3,False
1,2,False
1,1,False
2,1,False
2,2,False
2,2,False
2,2,False
2,3,False
2,2,False
2,2,False
2,2,False
2,3,False
2,3,False
2,3,False
2,3,False
1,2,False
1,2,False
2,2,False
2,3,False
2,3,False
2,3,False
2,3,False
2,3,False
2,3,False
2,2,False
1,2,False
1,1,False
1,1,False
1,1,False
1,1,False
1,1,False
1,1,False
1,1,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
3,5,False
2,4,False
2,3,False
2,3,False
2,3,False
2,3,False
1,3,False
3,6,False
2,4,False
2,4,False
1,2,False
1,1,False
1,1,False
1,2,False
2,2,False
2,3,False
4,4,False
3,3,False
2,4,False
2,4,False
2,4,False
2,4,False
2,5,False
2,4,False
2,4,False
2,3,False
2,4,False
2,4,False
3,5,False
3,5,False
3,5,False
4,6,False
4,6,False
3,5,False
2,4,False
2,3,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,3,False
2,4,False
2,4,False
2,3,False
2,9,False
3,10,False
2,5,False
2,4,False
1,4,False
2,4,False
2,5,False
2,5,False
2,4,False
2,4,False
1,3,False
2,5,False
2,5,False
1,4,False
0,1,False
1,2,False
1,4,False
2,4,False
1,3,False
1,4,False
2,3,False
2,4,False
2,4,False
2,4,False
2,4,False
1,4,False
1,2,False
1,2,False
1,3,False
1,3,False
1,3,False
1,4,False
2,3,False
2,3,False
2,4,False
2,3,False
1,3,False
1,2,False
1,2,False
1,1,False
1,1,False
1,1,False
1,1,False
1,2,False
1,1,False
0,1,False
0,1,False
1,1,False
1,2,False
1,2,False
1,2,False
2,6,False
2,8,False
2,6,False
2,5,False
1,4,False
1,3,False
1,3,False
1,3,False
1,3,False
1,3,False
1,3,False
1,2,False
1,3,False
1,3,False
1,3,False
0,1,False
0,1,False
1,1,False
1,2,False
1,2,False
1,3,False
1,2,False
1,2,False
2,4,False
1,3,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,3,False
1,3,False
1,3,False
1,3,False
1,3,False
1,3,False
1,2,False
1,2,False
1,2,False
1,1,False
1,2,False
1,2,False
1,2,False
1,3,False
1,2,False
1,2,False
1,4,False
1,2,False
1,2,False
1,3,False
1,3,False
1,3,False
1,2,False
1,2,False
1,3,False
1,2,False
1,3,False
1,3,False
1,4,False
1,3,False
1,3,False
1,2,False
1,3,False
1,3,False
1,3,False
0,1,False
1,2,False
1,2,False
1,2,False
0,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
1,3,False
1,4,False
1,100,False
1,4,False
1,3,False
1,3,False
1,3,False
1,2,False
1,2,False
1,2,False
1,2,False
1,2,False
0,2,False
1,2,False
1,1,True
