date,content
2022-07-16 12:49:14+00:00,"""the dual existential threats of our time—the collapse of democracy and the onset of climate change—require a more radical reassessment of the trade-offs that America makes"" https://t.co/wHDMvk7QmG"
2022-07-16 12:47:33+00:00,"“The Silicon Valley model of innovation may not work against [climate change]. It’s not exactly an issue of public versus private, but patient capital and policy-focused interventions can bring more equity, and perhaps quicker emissions cuts, than moving fast &amp; breaking things.” https://t.co/EGYxxnJQ5z"
2022-07-16 12:36:31+00:00,"Men. Women. Nothing follows. 

And climate change is a hoax. https://t.co/EVQhT8SXbt"
2022-07-16 12:32:21+00:00,"Global Warming is Causing Climate Change and Maybe Even a Rainy Day | by Justiss Goode | Jul, 2021 | Medium - via @pensignal  Read this thought provoking story https://t.co/5nxbP4YZ3f and don't forget to share your thoughts."
2022-07-16 12:29:08+00:00,Kurt RN: “Should I add that climate change is a hoax?” https://t.co/EVQhT8SXbt
2022-07-16 11:56:03+00:00,#ClimateEmergency #ClimateChange #ClimateCrisis #EndFossilFuels https://t.co/0BAuga1nfv
2022-07-16 11:38:31+00:00,"Can we just put to rest the belief that solar power is ""greener"" energy than nuclear power. These panels are toxic when made, and especially toxic when disposed of. No such thing as a totally clean energy. #nuclearpower 
#climatechange #solar  https://t.co/f2mxl28tav"
2022-07-16 11:38:26+00:00,@SenWhitehouse Anybody who truly believes there’s a bipartisan solution to climate change either hasn’t been paying attention for the last decade or is child-like naive.
2022-07-16 10:55:33+00:00,"@BSRevolver @antonnewcombe That's right, but that's the problem going forward with climate change. You're going to have areas that traditionally aren't used to extreme temperatures being subjected to them and they won't be ready for it. It's very dangerous and hard to deal with."
2022-07-16 10:36:42+00:00,But climate change is a hoax so… https://t.co/iPOOfczr4b
2022-07-16 10:25:31+00:00,This is runaway climate change. https://t.co/gXMgZsOTss
2022-07-16 10:25:05+00:00,@WeDontHaveTime This is runaway climate change.
2022-07-16 10:12:48+00:00,"The aliens are lagging at us, so many movies about climate change, yet so little action"
2022-07-16 09:57:07+00:00,"@tim_ber475 @ClimateHuman I´ve essentially given up everything to work on sci comm (I forgo making $$$ every day) bc the disconnect btw science and the public is a massive existential threat (climate change is a perfect example). several of our videos focused on climate impact, lot more lined up"
2022-07-16 08:19:31+00:00,@MCCH2021 @HedyLamarr0629 @ClimateHuman Slightly better than the party that still thinks climate change is a hoax? Hahah are you serious? You dont remember Trump pulling out of Paris? How you gonna work as a unit with these people?!
2022-07-16 07:45:40+00:00,Biden says he will take executive action to address climate change should Congress fail to act https://t.co/bxElknMLnu
2022-07-16 07:39:32+00:00,"@ThomasM70699326 @_SierraBreeze_ I mean they also have self driving cars, the technology is there, but they seem more concerned with the climate Change stuff, putting us in busses"
2022-07-16 07:30:12+00:00,"Senator Joe Manchin of West Virginia, who took more campaign cash from the oil and gas industry than any other senator, blew up the Democratic Party’s plan to fight climate change."
2022-07-16 07:23:36+00:00,Sen. Joe Manchin pulled the plug on major spending to address climate change : NPR https://t.co/RGxZedKB1T
2022-07-16 07:18:28+00:00,Catastrophic Climate Change Cannot Be Stopped If We Keep Using Coal https://t.co/PXyXklgiFf
2022-07-16 07:05:52+00:00,Biden says he will take executive action to address climate change should Congress fail to act https://t.co/18vHOBIp5J
2022-07-16 07:05:47+00:00,Biden says he will take executive action to address climate change should Congress fail to act https://t.co/lpz5zYfgFT
2022-07-16 07:01:50+00:00,Biden says he will take executive action to address climate change should Congress fail to act https://t.co/18vHOBIp5J
2022-07-16 06:46:24+00:00,@LeoHickman @i_petersen I love this being characterized as “sunny with a slight breeze”. They must have some climate change minimizers at BBC!
2022-07-16 06:40:48+00:00,Sen. Joe Manchin (D-WV) wants to see the July economic numbers before agreeing to a climate change bill. Then he’ll want to see the August numbers and September’s and so on. Climate change won’t wait while Manchin fiddles as the planet burns — and dies. #JoeManchin
2022-07-16 06:35:51+00:00,"@LFFriedman @CoralMDavenport The two of you and your hysterical article on Manchin is funny to read. Get a grip, libs. You guys and your warnings of eminent death from climate change looks nutty."
2022-07-16 06:20:43+00:00,"If you're despairing about climate change, invest a few minutes in this.

:) They used a version of the climate change lies post that went viral on G+ a decade or so back.

https://t.co/UfheogEvDK"
2022-07-16 06:20:21+00:00,@JoeBiden the radical left must not use climate change as an excuse for phasing out fossil fuels
2022-07-16 05:46:46+00:00,"@Spacemarine77 @RealDante12 @DanielSpaniel21 It’s about climate change. If you remembered correctly, climate change will cause wars, food shortage, and deaths."
2022-07-16 05:37:28+00:00,@USFWS Would be less dead inside if there was any hope those in powers were doing anything about the utter destruction coming from climate change but I guess a walk while I still can breathe out there is as good as it gets.
2022-07-16 05:14:38+00:00,@RealInman @CNN Car manufacturers are but it’s not gonna be for years unfortunately &amp; who knows what kinda damage climate change will have by then.
2022-07-16 04:43:42+00:00,“A new study…found that #ClimateChange has pushed almost a quarter of Earth’s best-protected forests to a “critical threshold” for lost resilience — the point at which even a minor drought or heat wave could tip them into catastrophic decline” https://t.co/U4u63yoG6j
2022-07-16 04:42:03+00:00,"“It’s like coming across a murder scene”
After outlasting millennia of disruptions and disaster, human-caused climate change is proving too much for the ancient trees to bear
#ClimateCrisis #ClimateAction  https://t.co/U4u63yoG6j"
