Month-year,Fire_name,Acres,Total_acres,Structures,Total_structures,Deaths,Total_deaths
Jan-18,0,0,0,0,0,0,0
Feb-18,0,0,0,0,0,0,0
Mar-18,0,0,0,0,0,0,0
Apr-18,0,0,0,0,0,0,0
May-18,0,0,0,0,0,0,0
Jun-18,0,0,0,0,0,0,0
Jul-18,"MENDOCINO COMPLEX, CARR","459123, 229651","688,774","280, 1614",1894,"1, 8",9
Aug-18,0,0,0,0,0,0,0
Sep-18,0,0,0,0,0,0,0
Oct-18,0,0,0,0,0,0,0
Nov-18,0,0,0,0,0,0,0
Dec-18,0,0,0,0,0,0,0
Jan-19,0,0,0,0,0,0,0
Feb-19,0,0,0,0,0,0,0
Mar-19,0,0,0,0,0,0,0
Apr-19,0,0,0,0,0,0,0
May-19,0,0,0,0,0,0,0
Jun-19,0,0,0,0,0,0,0
Jul-19,0,0,0,0,0,0,0
Aug-19,0,0,0,0,0,0,0
Sep-19,0,0,0,0,0,0,0
Oct-19,0,0,0,0,0,0,0
Nov-19,0,0,0,0,0,0,0
Dec-19,0,0,0,0,0,0,0
Jan-20,0,0,0,0,0,0,0
Feb-20,0,0,0,0,0,0,0
Mar-20,0,0,0,0,0,0,0
Apr-20,0,0,0,0,0,0,0
May-20,0,0,0,0,0,0,0
Jun-20,0,0,0,0,0,0,0
Jul-20,0,0,0,0,0,0,0
Aug-20,"AUGUST COMPLEX, SCU LIGHTNING COMPLEX, NORTH COMPLEX, LNU LIGHTNING COMPLEX","1032648, 396624, 318935, 363220","2,111,427","935, 222, 2352, 1491",5000,"1, 0, 15",16
Sep-20,CREEK,"379,895","379,895",853,853,0,0
Oct-20,0,0,0,0,0,0,0
Nov-20,0,0,0,0,0,0,0
Dec-20,0,0,0,0,0,0,0
Jan-21,0,0,0,0,0,0,0
Feb-21,0,0,0,0,0,0,0
Mar-21,0,0,0,0,0,0,0
Apr-21,0,0,0,0,0,0,0
May-21,0,0,0,0,0,0,0
Jun-21,0,0,0,0,0,0,0
Jul-21,"DIXIE, MONUMENT, RIVER COMPLEX","963309, 223124, 199343","1,385,776","1329, 50, 122","1,501","1, 0, 0",1
Aug-21,CALDOR,"221,835","221,835","1,003","1,003",1,1
Sep-21,,,,,,,
Oct-21,0,0,0,0,0,0,0
Nov-21,0,0,0,0,0,0,0
Dec-21,0,0,0,0,0,0,0
Jan-22,0,0,0,0,0,0,0
Feb-22,0,0,0,0,0,0,0
Mar-22,0,0,0,0,0,0,0
Apr-22,0,0,0,0,0,0,0
May-22,0,0,0,0,0,0,0
Jun-22,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
